Area,Total Population
101.01,2004
101.02,1795
102.01,2608
102.02,1761
103,3791
104.01,2393
104.02,2012
105,3177
106,3293
107.01,3280
107.02,1380
108,4334
109.01,2069
109.02,2568
110.01,2327
110.02,1755
111.01,2470
111.02,2205
112,2678
113,2518
117,1947
118,1635
119.01,2084
119.02,2732
120.01,1738
120.02,2035
121,3250
122.02,3017
122.03,1895
122.04,2389
123.01,1766
123.02,2586
124.03,2696
124.04,2587
124.05,3878
124.06,1358
125.02,4689
125.03,4497
125.04,651
126.01,2045
126.02,2956
127,3973
128.01,2547
128.02,2035
129.01,2887
129.02,2735
130.01,1770
130.02,2785
131.01,3935
131.02,2725
132,3721
133,4160
134.01,1456
134.02,2302
135,2544
151,2840
152.01,1532
152.02,2334
153,2427
154.01,3035
154.02,2747
155,3936
156,2927
157.01,4958
157.02,3109
158.01,3220
158.02,3163
159,4876
160,2725
161.01,2444
161.02,2798
162,3198
163,3794
164,3481
165,5393
166.01,3027
166.02,1986
167,5092
168.01,4013
168.02,3754
169,2890
170,4016
171.01,4125
171.02,3550
176.02,3251
176.03,4527
176.04,3720
177,2360
178.01,3335
178.03,2318
178.04,3911
179.03,2829
180,3636
201.01,4221
201.02,3627
202.01,1847
202.02,3929
203,3372
204.01,3409
204.02,4083
205,2895
206.01,3073
206.02,2369
207.01,3032
207.02,2046
208.01,3732
208.02,2274
209,3644
210,3739
211,4054
212,3052
213,2948
214,3522
215,5341
216,4417
217,4459
218,3999
226,4210
227.02,2017
227.04,3982
228.01,4755
228.02,2236
228.03,4098
229.01,4197
229.02,2019
229.03,2675
230.01,5576
230.03,4025
231.02,3411
231.03,4512
232,4214
233,3934
234,3811
251,3342
252,5610
253,4218
254.01,3706
254.02,3163
254.03,4686
255.01,4073
255.02,3451
256,5290
257.01,5047
257.02,4601
258,1776
259,4134
260.01,6010
260.02,3731
260.03,4873
260.04,3924
261,6601
262.01,3928
262.02,3664
263.01,4955
263.02,4707
263.03,4425
264.01,3470
264.02,4654
264.03,3453
264.04,2404
301.01,4588
301.02,4808
302.01,4120
302.02,4017
303.01,6509
303.02,3492
304,5120
305,3778
306,2356
307,6600
308,5769
309,6425
310,4336
311,6276
312.01,5906
312.02,2919
313.01,3847
313.02,4727
314.01,2700
314.02,4671
326.01,4511
326.02,4105
327,6729
328.01,3946
328.02,4185
329.01,5071
329.02,3797
330.01,3858
330.02,3940
331,3866
332.01,3535
332.03,3339
332.04,3327
351.01,3848
351.02,3828
352.01,5136
352.02,4559
353,6922
354,7154
401,4277
402,4903
426.01,3999
426.02,3060
427,5365
428,2419
451,4664
452.01,3113
452.02,3304
476,5208
477.01,4742
477.02,3441
478.01,4227
478.02,3897
479.02,3327
479.03,3608
479.04,3175
601,3808
604,1818
605.02,3087
607.01,8415
607.02,2359
607.03,5936
610,4558
611.01,1814
611.02,2017
612,4163
614.01,2900
614.02,2354
615.01,1807
615.02,2195
615.03,3612
615.04,2133
615.05,1162
615.06,4918
615.07,1550
615.08,2018
9802,179
9803,49
9804.01,0
9805.01,155
9806,1290
9809,322
9901,0
9902,0
